frame,time_seconds,plate_text,plate_confidence,car_box,plate_box_in_frame
1,0.04,LA82545,0.2328,"(373, 348, 788, 716)","(483, 624, 574, 653)"
2,0.08,LA82545,0.2328,"(373, 348, 788, 716)","(483, 624, 574, 653)"
3,0.12,E82545,0.1951,"(372, 348, 788, 716)","(482, 621, 574, 650)"
4,0.16,E482545,0.1474,"(372, 347, 788, 717)","(482, 622, 574, 651)"
5,0.2,82545,0.9072,"(373, 348, 788, 716)","(482, 625, 574, 652)"
6,0.24,LA82545,0.2079,"(372, 348, 789, 716)","(482, 623, 574, 650)"
7,0.28,LA82545,0.3417,"(373, 348, 788, 716)","(482, 625, 574, 651)"
8,0.32,82545,0.5873,"(372, 349, 788, 717)","(482, 623, 574, 651)"
9,0.36,LA82545,0.5205,"(372, 348, 788, 717)","(482, 624, 574, 651)"
10,0.4,LA82545,0.5044,"(372, 347, 788, 716)","(482, 625, 574, 651)"
11,0.44,LA82545,0.2495,"(372, 347, 788, 716)","(482, 624, 574, 650)"
12,0.48,L482545,0.1529,"(372, 348, 788, 716)","(482, 625, 574, 650)"
13,0.52,82545,0.7458,"(373, 348, 788, 716)","(482, 625, 574, 652)"
14,0.56,LA8254S,0.1498,"(374, 349, 788, 716)","(482, 619, 574, 651)"
15,0.6,OA82545,0.0648,"(373, 349, 788, 716)","(482, 620, 574, 651)"
16,0.64,8254S,0.5242,"(374, 349, 788, 715)","(482, 623, 573, 652)"
17,0.68,148254S,0.0641,"(373, 349, 788, 716)","(482, 621, 574, 651)"
18,0.72,EA82545,0.0591,"(373, 349, 788, 716)","(482, 620, 574, 651)"
19,0.76,LA8254S,0.124,"(373, 349, 788, 715)","(482, 620, 573, 651)"
20,0.8,08254S,0.1589,"(374, 349, 788, 715)","(482, 622, 573, 652)"
21,0.84,LA8254S,0.1186,"(373, 349, 788, 715)","(482, 621, 573, 651)"
22,0.88,LA8254S,0.1186,"(373, 349, 788, 715)","(482, 621, 573, 651)"
23,0.92,08254S,0.16,"(374, 348, 788, 715)","(482, 622, 573, 652)"
24,0.96,LA82545,0.1906,"(374, 348, 788, 715)","(482, 623, 573, 651)"
25,1.0,08254S,0.1646,"(374, 348, 788, 715)","(482, 622, 573, 652)"
26,1.04,E8254S,0.1932,"(374, 347, 788, 715)","(482, 623, 573, 652)"
27,1.08,E8254S,0.2962,"(374, 347, 788, 715)","(482, 623, 573, 652)"
28,1.12,E48254S,0.0549,"(374, 347, 788, 715)","(482, 623, 573, 652)"
29,1.16,E8254S,0.1805,"(374, 348, 788, 715)","(482, 623, 573, 652)"
30,1.2,E48254S,0.0897,"(374, 348, 788, 715)","(482, 623, 573, 652)"
31,1.24,E8254S,0.1587,"(374, 348, 788, 715)","(482, 623, 573, 652)"
32,1.28,8254,0.7462,"(374, 349, 788, 715)","(482, 623, 573, 653)"
33,1.32,E8254S,0.108,"(374, 348, 788, 715)","(482, 623, 573, 652)"
34,1.36,E82545,0.1188,"(374, 347, 788, 715)","(482, 623, 573, 652)"
35,1.4,E82545,0.1175,"(374, 348, 788, 715)","(482, 623, 573, 652)"
36,1.44,E8254S,0.1205,"(374, 347, 788, 715)","(482, 623, 573, 652)"
37,1.48,E48254S,0.0627,"(374, 347, 788, 715)","(482, 623, 573, 652)"
38,1.52,E48254S,0.0627,"(374, 348, 788, 715)","(482, 623, 573, 652)"
39,1.56,E8254S,0.1935,"(374, 347, 788, 715)","(482, 623, 573, 652)"
40,1.6,E8254S,0.2283,"(374, 347, 788, 715)","(482, 623, 573, 652)"
41,1.64,EA8254S,0.109,"(374, 348, 788, 716)","(482, 624, 573, 653)"
42,1.68,EA8254S,0.1029,"(374, 348, 788, 716)","(482, 624, 573, 653)"
43,1.72,E48254S,0.053,"(374, 348, 788, 715)","(482, 623, 573, 652)"
44,1.76,E48254S,0.0535,"(374, 348, 788, 715)","(482, 623, 573, 652)"
45,1.8,E82545,0.1285,"(374, 347, 788, 716)","(482, 623, 573, 652)"
46,1.84,L48254S,0.0792,"(375, 347, 788, 716)","(482, 624, 573, 652)"
47,1.88,E8254S,0.0932,"(375, 348, 788, 716)","(482, 623, 572, 652)"
48,1.92,E8254S,0.0932,"(375, 348, 788, 716)","(482, 623, 572, 652)"
49,1.96,E8254S,0.0932,"(375, 348, 788, 716)","(482, 623, 572, 652)"
50,2.0,E8254S,0.0932,"(375, 348, 788, 716)","(482, 623, 572, 652)"
